schema_version,audit_id,split_id,sample,trade_dates,selected_context_experiment_id,outcome_id,signal_id,symbol,direction,entry_time,entry_bar_index,exit_reason,net_usd,minutes_after_rth_open,directional_open_distance_points,directional_opening_range_breakout_points,continuation_edge_score,opening_range_continuation_edge_score,lookback_directional_move_points,lookback_efficiency_ratio,lookback_choppiness_score,signal_abs_delta_sum_to_average_abs_delta,entry_volume_to_average_volume,entry_trades_to_average_trades,entry_volume_to_session_average_volume,lookback_volume_to_session_average_volume,risk_to_average_bar_range,runner_target_to_average_bar_range,notes
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_639:runner_target_hit:643,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_639:runner_target_hit:643,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_639,ESU26-CME,short,2026-03-23  15:27:00,639,runner_target_hit,593,357,4.75,-9.25,0.61363636,0.75496689,5.5,0.06748466,0.93251534,8.01980198,0.17241379,0.18181818,0.14159292,0.82123894,6.10687023,4.88549618,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_745:runner_target_hit:751,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_745:runner_target_hit:751,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_745,ESU26-CME,long,2026-03-25  10:27:00,745,runner_target_hit,593,57,-13.25,-24.75,0.47340426,0.37735849,-18.5,0.22560976,0.77439024,7.52435065,0.04672897,0.09375,0.04968944,1.06335404,2.44897959,1.95918367,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_750:full_stop_hit:753,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_750:full_stop_hit:753,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_750,ESU26-CME,long,2026-03-25  10:45:00,750,full_stop_hit,-1057,75,-6.25,-17.75,0.62234043,0.55345912,-11.5,0.11675127,0.88324873,9.52076677,0.03030303,0.05988024,0.03177005,1.0484115,3.08880309,2.47104247,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925:runner_target_hit:928,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925:runner_target_hit:928,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925,ESU26-CME,long,2026-03-27  10:57:00,925,runner_target_hit,593,87,-15.25,-22.75,0.40131579,0.38513514,9.75,0.1143695,0.8856305,14.42424242,0.0619195,0.08510638,0.0741688,1.19782609,3.10077519,2.48062016,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324:runner_target_hit:1325,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324:runner_target_hit:1325,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324,ESU26-CME,long,2026-04-02  10:36:00,1324,runner_target_hit,593,66,85.75,56,0.79532164,2.2173913,82.5,0.4954955,0.5045045,18,14.0979021,14.80645161,8.34509804,0.591939,1.55172414,1.24137931,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556:runner_target_hit:1558,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556:runner_target_hit:1558,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556,ESU26-CME,short,2026-04-07  14:45:00,1556,runner_target_hit,593,315,23.5,-8,0.46478873,0.76642336,13.25,0.18088737,0.81911263,10.20408163,0.16393443,0.23529412,0.15983607,0.975,6.34920635,5.07936508,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2619:runner_initial_stop_hit:2625,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2619:runner_initial_stop_hit:2625,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2619,ESU26-CME,short,2026-04-23  13:15:00,2619,runner_initial_stop_hit,-307,225,28.75,28,1,2.38271605,54.75,0.68652038,0.31347962,18.48484848,5.58139535,4.61538462,5.39449541,0.96651376,4.0201005,3.2160804,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700:full_stop_hit:2720,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700:full_stop_hit:2720,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700,ESU26-CME,long,2026-04-24  11:48:00,2700,full_stop_hit,-1057,138,29.5,29.5,0.99489796,2.53246753,44,0.75862069,0.24137931,11.45454545,2.55555556,2.85714286,3.234375,1.265625,5.19480519,4.15584416,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705:full_stop_hit:2720,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705:full_stop_hit:2720,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705,ESU26-CME,long,2026-04-24  12:03:00,2705,full_stop_hit,-1057,153,30,30,0.99494949,2.55844156,25.75,0.60946746,0.39053254,8.2962963,0.47393365,0.55944056,0.7400722,1.56155235,4,3.2,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118:full_stop_hit:3121,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118:full_stop_hit:3121,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118,ESU26-CME,long,2026-05-01  10:24:00,3118,full_stop_hit,-1057,54,30.75,3.25,0.90441176,1.11818182,25.75,0.44588745,0.55411255,7.39896373,0.16190476,0.23076923,0.16981132,1.04883463,2.94372294,2.35497835,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129:full_stop_hit:3133,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129:full_stop_hit:3133,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129,ESU26-CME,short,2026-05-01  11:00:00,3129,full_stop_hit,-1057,90,-7.5,-7.5,0.78417266,0.72727273,20,0.31007752,0.68992248,6.50306748,0.74074074,1,0.61556604,0.83101415,3.57142857,2.85714286,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184:runner_initial_stop_hit:3199,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,train,2026-03-23;2026-03-25;2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184:runner_initial_stop_hit:3199,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184,ESU26-CME,long,2026-05-01  15:09:00,3184,runner_initial_stop_hit,-307,339,6,-21.5,0.28571429,0.21818182,-10.25,0.18721461,0.81278539,13.08411215,0.80536913,0.7079646,0.68852459,0.85491803,7.92079208,6.33663366,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:holdout:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3247:runner_initial_stop_hit:3261,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3247:runner_initial_stop_hit:3261,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3247,ESU26-CME,short,2026-05-04  12:18:00,3247,runner_initial_stop_hit,-307,168,31.25,23,0.72340426,2.67272727,38.5,0.34222222,0.65777778,7.04402516,9.61130742,5.86826347,11.57446809,1.20425532,1.83486239,1.46788991,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2:holdout:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3315:full_stop_hit:3320,scaled_context_filter_walk_forward_window=1:train_dates=8:holdout_dates=2,holdout,2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=5-20:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3315:full_stop_hit:3320,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3315,ESU26-CME,long,2026-05-05  10:24:00,3315,full_stop_hit,-1057,54,16.5,8.25,1,1.89189189,17.5,0.25547445,0.74452555,12.24,0.45454545,0.59602649,0.4679803,1.02955665,3.11688312,2.49350649,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925:runner_target_hit:928,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925:runner_target_hit:928,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_925,ESU26-CME,long,2026-03-27  10:57:00,925,runner_target_hit,593,87,-15.25,-22.75,0.40131579,0.38513514,9.75,0.1143695,0.8856305,14.42424242,0.0619195,0.08510638,0.0741688,1.19782609,3.10077519,2.48062016,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324:runner_target_hit:1325,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324:runner_target_hit:1325,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1324,ESU26-CME,long,2026-04-02  10:36:00,1324,runner_target_hit,593,66,85.75,56,0.79532164,2.2173913,82.5,0.4954955,0.5045045,18,14.0979021,14.80645161,8.34509804,0.591939,1.55172414,1.24137931,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556:runner_target_hit:1558,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556:runner_target_hit:1558,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1556,ESU26-CME,short,2026-04-07  14:45:00,1556,runner_target_hit,593,315,23.5,-8,0.46478873,0.76642336,13.25,0.18088737,0.81911263,10.20408163,0.16393443,0.23529412,0.15983607,0.975,6.34920635,5.07936508,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1560:full_stop_hit:1564,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1560:full_stop_hit:1564,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_1560,ESU26-CME,short,2026-04-07  15:03:00,1560,full_stop_hit,-1057,333,36.75,5.25,0.65140845,1.15328467,26.25,0.31722054,0.68277946,20.22222222,7.67857143,8.60759494,6.52962963,0.85037037,6.4516129,5.16129032,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2619:runner_initial_stop_hit:2625,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2619:runner_initial_stop_hit:2625,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2619,ESU26-CME,short,2026-04-23  13:15:00,2619,runner_initial_stop_hit,-307,225,28.75,28,1,2.38271605,54.75,0.68652038,0.31347962,18.48484848,5.58139535,4.61538462,5.39449541,0.96651376,4.0201005,3.2160804,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700:full_stop_hit:2720,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700:full_stop_hit:2720,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2700,ESU26-CME,long,2026-04-24  11:48:00,2700,full_stop_hit,-1057,138,29.5,29.5,0.99489796,2.53246753,44,0.75862069,0.24137931,11.45454545,2.55555556,2.85714286,3.234375,1.265625,5.19480519,4.15584416,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705:full_stop_hit:2720,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705:full_stop_hit:2720,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_2705,ESU26-CME,long,2026-04-24  12:03:00,2705,full_stop_hit,-1057,153,30,30,0.99494949,2.55844156,25.75,0.60946746,0.39053254,8.2962963,0.47393365,0.55944056,0.7400722,1.56155235,4,3.2,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118:full_stop_hit:3121,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118:full_stop_hit:3121,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3118,ESU26-CME,long,2026-05-01  10:24:00,3118,full_stop_hit,-1057,54,30.75,3.25,0.90441176,1.11818182,25.75,0.44588745,0.55411255,7.39896373,0.16190476,0.23076923,0.16981132,1.04883463,2.94372294,2.35497835,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129:full_stop_hit:3133,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129:full_stop_hit:3133,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3129,ESU26-CME,short,2026-05-01  11:00:00,3129,full_stop_hit,-1057,90,-7.5,-7.5,0.78417266,0.72727273,20,0.31007752,0.68992248,6.50306748,0.74074074,1,0.61556604,0.83101415,3.57142857,2.85714286,trade selected by context-filter walk-forward row
1,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2:train:delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184:runner_initial_stop_hit:3199,scaled_context_filter_walk_forward_window=3:train_dates=8:holdout_dates=2,train,2026-03-27;2026-04-02;2026-04-07;2026-04-23;2026-04-24;2026-05-01;2026-05-04;2026-05-05,scaled_context_filter:strategy=delta_impulse_continue_10bar_2.5pt_50d:direction=all:minutes=0-390:max_risk_avg_range=8:max_runner_avg_range=8:signal_delta_avg=0-50:min_volume_avg=0:min_trades_avg=0:min_cont_edge=0:min_or_cont_edge=0:min_or_breakout=-999999:min_efficiency=0:max_chop=1:min_entry_session_volume=0:min_lookback_session_volume=0,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184:runner_initial_stop_hit:3199,delta_impulse_continue_10bar_2.5pt_50d_ESU26-CME_3184,ESU26-CME,long,2026-05-01  15:09:00,3184,runner_initial_stop_hit,-307,339,6,-21.5,0.28571429,0.21818182,-10.25,0.18721461,0.81278539,13.08411215,0.80536913,0.7079646,0.68852459,0.85491803,7.92079208,6.33663366,trade selected by context-filter walk-forward row
