schema_version,split_id,sample,selected_on_train,trade_dates,experiment_id,strategy_id,direction_filter,minimum_zone_aggression_ratio,minimum_zone_volume,input_trades,evaluated_trades,target_hits,losses,other_exits,win_rate,net_usd,average_net_usd,long_trades,short_trades,notes
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=750,liquidity_sweep_vap_absorption_reversal,all,1,750,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=750,liquidity_sweep_vap_absorption_reversal,long,1,750,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=750,liquidity_sweep_vap_absorption_reversal,short,1,750,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1:min_zone_volume=1000,liquidity_sweep_vap_absorption_reversal,all,1,1000,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1:min_zone_volume=1000,liquidity_sweep_vap_absorption_reversal,long,1,1000,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1:min_zone_volume=1000,liquidity_sweep_vap_absorption_reversal,short,1,1000,12,0,0,0,0,0,0,0,0,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,all,1.05,0,12,12,7,5,0,0.58333333,1283,106.91666667,7,5,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,long,1.05,0,12,7,4,3,0,0.57142857,831.75,118.82142857,7,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=0,liquidity_sweep_vap_absorption_reversal,short,1.05,0,12,5,3,2,0,0.6,451.25,90.25,0,5,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,all,1.05,5,12,5,2,3,0,0.4,-117.5,-23.5,4,1,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=long:min_zone_ratio=1.05:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,long,1.05,5,12,4,2,2,0,0.5,123.5,30.875,4,0,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=short:min_zone_ratio=1.05:min_zone_volume=5,liquidity_sweep_vap_absorption_reversal,short,1.05,5,12,1,0,1,0,0,-241,-241,0,1,post-diagnostic VAP threshold sweep
1,chronological_train_dates=8_holdout_dates=7,train,false,2026-05-21;2026-05-22;2026-05-25;2026-05-26;2026-05-27;2026-05-29;2026-06-01;2026-06-03,liquidity_sweep_vap_absorption_threshold:direction=all:min_zone_ratio=1.05:min_zone_volume=10,liquidity_sweep_vap_absorption_reversal,all,1.05,10,12,3,2,1,0,0.66666667,314.5,104.83333333,3,0,post-diagnostic VAP threshold sweep
